architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexicity_density,unique_ngram_count
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100650,100650,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100660,100660,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100670,100670,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,FUN_00100690,100690,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,_start,001006a0,Non-Crypto,1,3,4,1,1,0.333333333,12,0,3,0,3,1,0,12,1.909598018,0.086956522,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,4,0.086956522,4.616874606,1.910269941,0.333333333,11
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,_PREINIT_0,001006c2,Non-Crypto,1,0,1,0,0,0,3,1,1,0,0,0,0,3,1.513116855,0.2,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,1,1,2,0,3.121928095,1.921928095,0.333333333,2
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,deregister_tm_clones,001006ce,Non-Crypto,4,5,3,0,0,0,2.5,1,5,2,3,0,0,10,1.034242869,0.085714286,2,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,3,3,6,0.052631579,4.134334254,2.259799223,0.3,8
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,register_tm_clones,001006f0,Non-Crypto,4,5,3,0,0,0,3.75,1,5,2,3,0,0,15,0.938841626,0.10515873,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,6,4,8,0.037037037,4.407962016,2.646157985,0.2,13
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,__do_global_dtors_aux,0010071c,Non-Crypto,5,8,5,1,1,0.125,4,2,7,2,6,1,0,20,1.567499428,0.068253968,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,16,3,3,14,0.166666667,4.960755133,2.311358185,0.25,18
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,init_demo_curve,100758,ECC,1,0,1,0,0,0,22,1,1,0,0,0,0,22,1.402817032,0,10,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,24,0,0,15,0.222222222,4.894974678,1.754256529,0.045454545,16
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_double,100788,ECC,11,26,17,0,0,0,10.45454545,1,16,3,23,0,0,115,0.792932756,0.020958641,96,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,120,26,13,92,0.187311178,5.26496951,2.249236106,0.147826087,42
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_infinity,100914,ECC,1,0,1,0,0,0,18,1,1,0,0,0,0,18,1.502790203,0.022222222,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,3,0,24,1,1,16,0.244444444,4.975418018,2.044754975,0.055555556,14
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_add,0010093e,ECC,4,4,2,0,0,0,6.75,1,4,1,3,0,0,27,1.399564109,0,4,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,48,0,0,23,0.261538462,5.026034284,2.340089395,0.074074074,20
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_mul,100996,ECC,1,1,2,0,0,0,19,0,2,0,1,0,0,19,2.038918772,0.038461538,14,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,40,2,1,17,0.192307692,5.301693711,2.201783266,0.105263158,17
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_inv,001009d0,ECC,8,10,4,0,0,0,5.125,1,9,2,8,0,0,41,1.356885131,0.005681818,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,72,2,1,29,0.212121212,5.178870387,2.26399651,0.097560976,30
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,mod_sub,00100a5c,ECC,5,5,2,0,0,0,6.4,1,5,1,4,0,0,32,1.482190907,0,4,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,48,0,0,27,0.25,5.08472272,2.526646442,0.0625,22
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_add,00100ac8,ECC,17,35,20,14,14,0.4,9.176470588,1,23,5,30,14,0,156,1.287884581,0.039370782,120,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,144,28,14,132,0.21978022,5.385731212,2.261442635,0.128205128,43
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,scalar_mul,00100cde,ECC,13,18,7,4,3,0.222222222,8.769230769,1,10,3,15,4,0,114,0.936781762,0.036417139,58,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,136,33,18,75,0.177777778,5.912310644,2.630567785,0.061403509,67
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,gen_keypair,1.00E+60,ECC,5,7,4,3,3,0.428571429,8.2,0,6,1,6,3,0,41,1.445961684,0.023227753,32,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,64,4,2,35,0.212962963,5.432187272,2.280623148,0.097560976,30
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,compute_shared,00100ed8,ECC,1,1,2,1,1,1,17,0,2,0,1,1,0,17,2.066461506,0.041666667,10,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,48,2,1,16,0.229166667,5.070538035,2.122919469,0.117647059,13
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,ecdsa_sign_toy,00100f0c,ECC,15,23,10,9,9,0.391304348,5.666666667,1,8,4,19,9,0,85,0.798363628,0.015425926,48,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,120,10,5,64,0.188679245,5.500510938,2.42436428,0.117647059,44
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,ecdsa_verify_toy,0010103c,ECC,17,28,13,6,6,0.214285714,6.176470588,1,21,6,22,6,0,105,1.138601653,0.014664364,64,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,176,13,7,79,0.2,5.552255812,2.375401833,0.123809524,47
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,print_point,001011b0,Non-Crypto,5,7,4,2,2,0.285714286,6,1,6,1,6,2,0,30,1.391703623,0.0615,20,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,32,6,4,24,0.166666667,5.187121737,2.329889009,0.133333333,24
riscv,Non-Crypto,clang,O0,ecc_riscv_clang_O0.elf,main,101210,Non-Crypto,5,35,32,28,28,0.8,37.2,1,16,2,33,28,0,186,2.321803498,0.084286724,222,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,29,0,376,79,50,179,0.120287253,5.495956501,2.110589469,0.172043011,38
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,point_is_equal,1.01E+03,ECC,15,19,6,0,0,0,3.8,1,15,5,14,0,0,57,1.09415353,0.014074074,32,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,48,2,1,32,0.210144928,5.169146749,2.256928166,0.105263158,32
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,egcd,101592,ECC,5,6,3,1,1,0.166666667,9.8,1,4,1,5,1,0,49,1.445758365,0.006779661,22,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,80,2,1,39,0.241935484,5.364436375,2.251168514,0.06122449,31
riscv,ECC,clang,O0,ecc_riscv_clang_O0.elf,__umodti3,101636,ECC,69,106,39,11,8,0.103773585,3.782608696,4,66,41,65,11,0,261,0.374047788,0.105878815,146,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,6,0,0,113,68,115,0.013636364,6.262739829,3.079228368,0.149425287,151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_00100680,100680,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.887400476,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.855388542,1.971747257,0.666666667,2
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,FUN_00100690,100690,Non-Crypto,1,1,2,0,0,0,3,0,2,0,1,0,0,3,1.854067142,0.181818182,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,0,2,1,3,0.090909091,2.688721876,1.971747257,0.666666667,2
