function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
_init,0001af84,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,2,1,7,1.4104316052097594,0.08,14,0,0.28,0.08,0.16,0.0,0.0,0.0,0,0,24,2,2,7,0.16,3.610577243331643,2.095646899398185,0.14285714285714285,6,unknown,0,0,0,0.0,unknown,1,unknown
_FINI_0,0001afa0,mips,gcc,O2,1,1,0,0,7,11,6,0,0,0.0,4.142857142857143,2,9,29,1.6053664770574692,0.056339157736673265,72,4,0.23275862068965517,0.05172413793103448,0.1724137931034483,0.0,0.0,0.008620689655172414,0,0,32,7,9,27,0.1724137931034483,5.082004542814253,2.0268644194180614,0.20689655172413793,23,unknown,3,8,0,0.0,unknown,1,unknown
_INIT_0,0001b014,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,4.333333333333333,2,4,13,1.6844389320055744,0.1699346405228758,24,0,0.25,0.1,0.125,0.0,0.0,0.025,0,0,16,5,7,10,0.125,4.594482506519421,2.1247388086555605,0.15384615384615385,12,unknown,1,2,0,0.0,unknown,1,unknown
FUN_0001b050,0001b050,mips,gcc,O2,1,1,0,0,20,29,11,4,3,0.13793103448275862,12.85,1,13,257,1.2830798459863972,0.5119040814220147,326,9,0.2522851919561243,0.07861060329067641,0.13711151736745886,0.027422303473491772,0.007312614259597806,0.10603290676416818,0,0,592,101,232,151,0.13711151736745886,5.791701564442739,2.7561448951021923,0.042801556420233464,120,unknown,9,20,4,0.7586206896551724,unknown,1,unknown
mbedtls_aes_init,0001b454,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,1,1,7,1.6907259502384426,0.3125,16,0,0.1875,0.25,0.0625,0.0,0.0,0.0625,0,0,16,5,7,3,0.0625,4.307354922057604,2.224601752714581,0.14285714285714285,6,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_aes_free,0001b470,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,3.0,1,4,9,1.3880310872876358,0.22008547008547008,18,0,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.0,0.0,0.037037037037037035,0,0,16,5,7,4,0.07407407407407407,3.9267336819377703,2.1140368018373032,0.2222222222222222,8,unknown,1,2,0,0.0,unknown,1,unknown
mbedtls_aes_setkey_enc,0001b494,mips,gcc,O2,1,1,0,0,26,38,14,7,7,0.18421052631578946,10.038461538461538,2,27,261,1.1278461704747538,0.19626373339056688,338,12,0.24154589371980675,0.10789049919484701,0.1610305958132045,0.05314009661835749,0.0,0.05152979066022544,0,0,48,99,196,150,0.1610305958132045,5.562267029753881,2.5824419021616425,0.05363984674329502,93,unknown,13,25,7,1.4736842105263157,unknown,1,unknown
mbedtls_aes_setkey_dec,0001b8a8,mips,gcc,O2,1,1,0,0,10,16,8,5,4,0.3125,12.7,0,11,127,1.2642889172897933,0.1888615580012172,194,6,0.277602523659306,0.08832807570977919,0.17350157728706625,0.00946372239747634,0.0,0.03785488958990536,0,0,328,40,67,89,0.17350157728706625,5.764221332883671,2.4836688798963116,0.06299212598425197,63,unknown,4,12,5,1.125,unknown,1,unknown
mbedtls_internal_aes_encrypt,0001baa4,mips,gcc,O2,1,1,0,0,6,8,4,1,1,0.125,85.5,0,7,513,1.5491864897644394,0.2898108889256704,474,2,0.22826086956521738,0.17490118577075098,0.1373517786561265,0.0691699604743083,0.007905138339920948,0.12845849802371542,0,0,96,307,637,247,0.1373517786561265,5.887578395528981,2.8621978638796226,0.007797270955165692,111,unknown,2,6,1,10.25,unknown,1,unknown
mbedtls_internal_aes_decrypt,0001c2a8,mips,gcc,O2,1,1,0,0,6,8,4,1,1,0.125,85.5,0,7,513,1.5491864897644392,0.2898108889256704,474,2,0.22826086956521738,0.17490118577075098,0.1373517786561265,0.0691699604743083,0.007905138339920948,0.12845849802371542,0,0,96,307,637,247,0.1373517786561265,5.885723927117642,2.8621978638796226,0.007797270955165692,116,unknown,2,6,1,10.25,unknown,1,unknown
mbedtls_aes_crypt_ecb,0001caac,mips,gcc,O2,1,1,0,0,5,6,3,2,2,0.3333333333333333,3.4,1,7,17,1.2908209988503194,0.14090909090909093,24,1,0.14285714285714285,0.17142857142857143,0.08571428571428572,0.0,0.0,0.02857142857142857,0,0,16,7,9,5,0.08571428571428572,4.4392540172118755,2.5873433909241648,0.17647058823529413,15,unknown,2,4,2,0.6666666666666666,unknown,1,unknown
mbedtls_aes_crypt_cbc,0001caf0,mips,gcc,O2,1,1,0,0,19,32,15,6,4,0.1875,7.578947368421052,1,16,144,0.8996751223619828,0.2528412771452075,296,13,0.2494061757719715,0.0688836104513064,0.16152019002375298,0.004750593824228029,0.0,0.0023752969121140144,0,0,96,30,34,107,0.16152019002375298,5.529442980234673,2.204274001254743,0.10416666666666667,81,unknown,11,21,6,0.46875,unknown,1,unknown
mbedtls_aes_crypt_cfb128,0001cd38,mips,gcc,O2,1,1,0,0,19,31,14,8,7,0.25806451612903225,5.842105263157895,2,14,111,0.6924275739189482,0.08353570311736638,248,12,0.2476489028213166,0.07836990595611286,0.16614420062695925,0.009404388714733543,0.0,0.003134796238244514,0,0,68,26,31,79,0.16614420062695925,5.277418020096054,2.3609502445003194,0.12612612612612611,57,unknown,12,19,8,0.6451612903225806,unknown,1,unknown
mbedtls_aes_crypt_cfb8,0001cef4,mips,gcc,O2,1,1,0,0,9,15,8,3,3,0.2,10.777777777777779,2,11,97,0.9783878538668191,0.2055666629196041,216,6,0.24761904761904763,0.047619047619047616,0.17142857142857143,0.0031746031746031746,0.0,0.0031746031746031746,0,0,96,16,19,78,0.17142857142857143,5.398839719604259,2.102801995492848,0.08247422680412371,62,unknown,5,10,3,0.4,unknown,1,unknown
mbedtls_aes_crypt_ctr,0001d078,mips,gcc,O2,1,1,0,0,19,29,12,5,4,0.1724137931034483,5.2105263157894735,1,11,99,0.6643808893408824,0.23941520467836255,224,10,0.23529411764705882,0.10661764705882353,0.125,0.003676470588235294,0.014705882352941176,0.01838235294117647,0,0,68,34,45,74,0.125,5.303717502080425,2.615928679576111,0.12121212121212122,71,unknown,10,19,5,0.7241379310344828,unknown,1,unknown
mbedtls_asn1_get_len,0001d2ac,mips,gcc,O2,1,1,0,0,12,15,5,1,1,0.06666666666666667,3.5,3,12,42,0.7786579460410038,0.10681818181818181,116,3,0.17094017094017094,0.09401709401709402,0.1111111111111111,0.0,0.0,0.008547008547008548,0,0,16,12,14,24,0.1111111111111111,4.399857835330472,2.449177830397334,0.11904761904761904,38,unknown,6,9,1,0.13333333333333333,unknown,1,unknown
mbedtls_asn1_get_tag,0001d354,mips,gcc,O2,1,1,0,0,5,5,2,1,1,0.2,3.4,2,6,17,1.4638254284972014,0.12,38,0,0.17647058823529413,0.0784313725490196,0.11764705882352941,0.0,0.0,0.0196078431372549,0,0,16,5,7,10,0.11764705882352941,4.462682543217317,2.4052541702587718,0.11764705882352941,15,unknown,2,3,1,0.0,unknown,1,unknown
FUN_0001d398,0001d398,mips,gcc,O2,1,1,0,0,17,27,12,3,3,0.1111111111111111,4.0,1,16,68,0.8831345584589937,0.03358972315213348,152,10,0.23232323232323232,0.045454545454545456,0.16666666666666666,0.0,0.0,0.010101010101010102,0,0,48,11,15,47,0.16666666666666666,4.870475255246457,2.3005183550332413,0.17647058823529413,53,unknown,10,17,3,0.18518518518518517,unknown,1,unknown
mbedtls_asn1_get_bool,0001d4a8,mips,gcc,O2,1,1,0,0,5,7,4,2,2,0.2857142857142857,6.4,2,6,32,1.0277780708294268,0.03951219512195122,68,2,0.2413793103448276,0.05747126436781609,0.16091954022988506,0.0,0.0,0.011494252873563218,0,0,48,6,8,21,0.16091954022988506,4.831246610557843,2.3031393513178573,0.125,27,unknown,2,5,2,0.42857142857142855,unknown,1,unknown
