function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
_init,000151f8,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,2,1,7,1.4104316052097594,0.08,14,0,0.28,0.08,0.16,0.0,0.0,0.0,0,0,24,2,2,7,0.16,3.610577243331643,2.095646899398185,0.14285714285714285,6,unknown,0,0,0,0.0,unknown,1,unknown
_FINI_0,00015220,mips,gcc,O2,1,1,0,0,7,11,6,0,0,0.0,4.142857142857143,2,9,29,1.602715344282824,0.056339157736673265,72,4,0.23275862068965517,0.05172413793103448,0.1724137931034483,0.0,0.0,0.008620689655172414,0,0,32,7,9,27,0.1724137931034483,5.017710474655622,2.0268644194180614,0.20689655172413793,23,unknown,3,8,0,0.0,unknown,1,unknown
_INIT_0,00015294,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,4.333333333333333,2,4,13,1.6578244373933853,0.1699346405228758,24,0,0.25,0.1,0.125,0.0,0.0,0.025,0,0,16,5,7,10,0.125,4.556020968057882,2.1247388086555605,0.15384615384615385,12,unknown,1,2,0,0.0,unknown,1,unknown
mbedtls_mps_reader_init,000152d0,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,11.0,2,1,11,0.9485254709216482,0.09090909090909091,48,0,0.20454545454545456,0.09090909090909091,0.20454545454545456,0.0,0.0,0.0,0,0,16,4,4,9,0.20454545454545456,3.1801923958368836,1.9754017117210338,0.09090909090909091,3,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_mps_reader_free,000152fc,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,11.0,2,1,11,0.9202370099622662,0.09090909090909091,52,0,0.20454545454545456,0.09090909090909091,0.20454545454545456,0.0,0.0,0.0,0,0,16,4,4,9,0.20454545454545456,2.9784232922328475,1.9754017117210338,0.09090909090909091,3,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_mps_reader_feed,00015328,mips,gcc,O2,1,1,0,0,12,16,6,3,3,0.1875,5.0,3,13,60,1.0984919549020375,0.09122008785447332,124,4,0.21195652173913043,0.07608695652173914,0.16304347826086957,0.0,0.0,0.005434782608695652,0,0,56,15,17,40,0.16304347826086957,5.1241089162126645,2.336533116268194,0.1,38,unknown,5,11,3,0.5625,unknown,1,unknown
mbedtls_mps_reader_get,00015418,mips,gcc,O2,1,1,0,0,20,25,7,3,3,0.12,2.95,6,20,59,0.742316453406708,0.11281512605042017,136,5,0.15822784810126583,0.12025316455696203,0.11392405063291139,0.0,0.0,0.0,0,0,16,19,19,31,0.11392405063291139,4.604804004106403,2.558552063420681,0.11864406779661017,42,unknown,10,15,3,0.0,unknown,1,unknown
mbedtls_mps_reader_commit,00015504,mips,gcc,O2,1,1,0,0,3,2,1,0,0,0.0,3.0,3,3,9,1.0037015219887784,0.13596491228070176,32,0,0.12121212121212122,0.15151515151515152,0.12121212121212122,0.0,0.0,0.0,0,0,16,5,5,4,0.12121212121212122,3.368241561497932,2.2720647768961575,0.1111111111111111,8,unknown,1,1,0,0.0,unknown,1,unknown
mbedtls_mps_reader_reclaim,00015528,mips,gcc,O2,1,1,0,0,24,37,15,5,5,0.13513513513513514,4.583333333333333,2,26,110,0.7501075212967149,0.0792554645738608,230,13,0.20388349514563106,0.0744336569579288,0.1650485436893204,0.0,0.0,0.003236245954692557,0,0,64,24,26,67,0.1650485436893204,5.137785931294366,2.337758289432322,0.13636363636363635,62,unknown,12,25,5,0.2972972972972973,unknown,1,unknown
mbedtls_net_init,000156e0,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,3.0,2,1,3,1.1229597296165788,0.13333333333333333,16,0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0,0,16,2,2,2,0.13333333333333333,3.0220552088742005,1.9068905956085187,0.3333333333333333,2,unknown,0,0,0,0.0,unknown,1,unknown
